County,State,Population,Poverty Rate,Median Age,Median Household Income,Number of Employees,Median Property Value
lafourche-county-la,la,,,,,,
lake-county-ca,ca,"64,095",22.8%,45.8,"$40,446","22,691","$182,000"
lake-county-co,co,"7,481",12.8%,39.3,"$46,176","4,184","$197,600"
lake-county-fl,fl,"356,495",12.8%,47.3,"$52,096","143,797","$204,000"
lake-county-il,il,"700,832",8.48%,38.5,"$87,133","351,948","$269,300"
lake-county-in,in,"484,411",16.8%,39.1,"$55,154","222,504","$154,000"
lake-county-mi,mi,"11,669",25%,52.1,"$32,309","3,514","$80,800"
lake-county-mn,mn,"10,578",9.29%,50.3,"$56,078","4,803","$165,800"
lake-county-mt,mt,"29,518",20.9%,41.8,"$42,582","11,866","$224,100"
lake-county-oh,oh,"229,701",8.32%,43.5,"$61,137","117,678","$150,100"
lake-county-or,or,"7,807",20%,48.8,"$32,769","3,039","$123,100"
lake-county-sd,sd,"12,350",15.5%,42,"$58,467","6,498","$155,200"
lake-of-the-woods-county-mn,mn,"3,841",7.4%,51.1,"$46,943","2,053","$128,400"
lamar-county-al,al,"14,021",23.1%,44.5,"$36,016","5,376","$71,500"
lamar-county-ga,ga,"18,282",20.8%,38.1,"$41,157","6,951","$132,400"
lamar-county-ms,ms,"60,517",16.3%,34.7,"$56,129","27,791","$169,000"
lamar-county-tx,tx,"49,401",17.8%,40.4,"$42,198","21,134","$88,100"
lamb-county-tx,tx,"13,368",20.5%,35.6,"$43,712","5,671","$62,700"
lamoille-county-vt,vt,"25,191",14%,40.5,"$54,899","13,437","$225,200"
lampasas-county-tx,tx,"20,473",12%,41.8,"$54,467","8,612","$136,800"
lake-county-tn,tn,"7,588",29.9%,40.2,"$31,993","1,906","$75,100"
lancaster-county-ne,ne,"317,272",14%,34,"$57,650","175,910","$184,100"
lancaster-county-pa,pa,"543,557",10.4%,38.7,"$66,277","271,712","$220,500"
lancaster-county-sc,sc,"86,544",15.5%,42,"$50,557","36,001","$169,000"
lancaster-county-va,va,"10,848",11%,56.3,"$51,495","4,384","$226,900"
lander-county-nv,nv,"5,887",13.2%,37.8,"$79,865","2,683","$151,900"
lane-county-ks,ks,"1,702",10.7%,41.5,"$51,765",885,"$76,400"
lane-county-or,or,"379,611",18.8%,39.5,"$53,172","177,274","$281,200"
langlade-county-wi,wi,"19,190",14.8%,47.6,"$44,122","8,872","$106,200"
lanier-county-ga,ga,"10,388",28.7%,33.8,"$31,109","3,551","$102,000"
lapeer-county-mi,mi,"88,205",9.75%,43.6,"$56,186","38,577","$151,400"
laramie-county-wy,wy,"97,031",10.4%,36.8,"$62,879","47,243","$202,800"
larimer-county-co,co,"350,518",12.4%,36.4,"$71,091","186,123","$398,300"
larue-county-ky,ky,"14,102",15.8%,40.8,"$41,720","6,136","$107,300"
las-animas-county-co,co,"14,151",17%,46,"$40,586","6,050","$145,900"
lassen-county-ca,ca,"31,470",14.6%,36.2,"$54,083","9,052","$177,500"
latah-county-id,id,"38,697",22.5%,28.3,"$43,310","19,118","$207,200"
latimer-county-ok,ok,"10,621",18.9%,40.8,"$40,539","3,863","$81,100"
lauderdale-county-al,al,"92,590",16.3%,41.5,"$44,888","39,857","$126,800"
lauderdale-county-ms,ms,"78,221",21.5%,37.7,"$41,340","32,021","$88,500"
lauderdale-county-tn,tn,"26,497",23.1%,38,"$35,551","9,096","$81,000"
laurel-county-ky,ky,"59,901",24.6%,39.6,"$37,235","22,550","$102,000"
laurens-county-ga,ga,"47,451",27.3%,38.3,"$35,202","17,192","$85,000"
laurens-county-sc,sc,"66,508",20.7%,40.8,"$40,580","28,011","$87,400"
lavaca-county-tx,tx,"19,859",10.5%,43.9,"$51,708","8,843","$143,300"
lawrence-county-al,al,"33,288",16.6%,42,"$43,779","12,476","$98,700"
lawrence-county-ar,ar,"16,777",18.4%,42,"$37,603","6,448","$77,100"
lawrence-county-il,il,"16,457",16.4%,41.2,"$44,504","6,361","$72,400"
lawrence-county-in,in,"45,669",11.5%,42.6,"$49,985","20,577","$109,200"
lawrence-county-ky,ky,"15,844",24.5%,40.9,"$32,703","5,065","$80,400"
lawrence-county-ms,ms,"12,659",19.8%,40.4,"$40,432","4,722","$89,100"
lawrence-county-mo,mo,"38,131",17.1%,39.7,"$41,673","16,701","$98,000"
lawrence-county-oh,oh,"61,057",18.6%,41.5,"$45,466","24,607","$101,500"
lawrence-county-pa,pa,"88,231",14%,44.9,"$47,188","39,309","$102,300"
lawrence-county-sd,sd,"25,018",12.4%,41.4,"$49,275","13,067","$189,200"
lawrence-county-tn,tn,"42,591",18.3%,39.6,"$41,522","16,277","$98,800"
le-flore-county-ok,ok,"49,860",22.2%,39.6,"$39,253","18,689","$87,200"
le-sueur-county-mn,mn,"27,810",8.83%,41.4,"$65,500","14,665","$190,700"
lea-county-nm,nm,"69,505",16.1%,31.7,"$59,285","28,672","$118,500"
leake-county-ms,ms,"22,936",25.1%,35.8,"$35,578","8,855","$80,800"
leavenworth-county-ks,ks,"79,359",9.04%,37.3,"$70,022","34,678","$171,000"
lebanon-county-pa,pa,"137,616",10.5%,41.2,"$57,698","65,970","$166,600"
lee-county-al,al,"156,597",22%,31,"$47,564","71,677","$157,100"
lee-county-ar,ar,"9,614",27.3%,41.9,"$27,901","2,842","$67,100"
lee-county-fl,fl,"754,610",14.9%,48.8,"$56,129","322,460","$235,000"
lee-county-ga,ga,"29,216",11.6%,36.9,"$65,018","13,503","$156,800"
lee-county-il,il,"34,670",11.8%,42.7,"$58,319","15,386","$116,500"
lee-county-ia,ia,"34,785",16.3%,43.3,"$48,266","16,022","$90,200"
lee-county-ky,ky,"6,717",32.7%,44.2,"$23,297","1,713","$64,200"
lee-county-ms,ms,"84,840",17.3%,37,"$45,985","38,185","$125,600"
lee-county-nc,nc,"59,805",17.5%,37.9,"$49,272","26,983","$138,400"
lee-county-sc,sc,"17,897",26.4%,41.7,"$31,963","6,005","$69,800"
lee-county-tx,tx,"16,850",13.8%,41.3,"$55,741","7,894","$138,300"
lee-county-va,va,"24,428",26.2%,43.8,"$32,590","7,559","$81,700"
leelanau-county-mi,mi,"21,564",7.73%,53.3,"$62,646","9,734","$248,900"
leflore-county-ms,ms,"30,113",40.3%,33.1,"$25,210","9,106","$76,100"
lehigh-county-pa,pa,"368,100",13.3%,38.5,"$62,278","178,305","$213,400"
lemhi-county-id,id,"7,755",17.1%,52.9,"$36,031","3,109","$173,400"
lenawee-county-mi,mi,"98,585",13.7%,41.6,"$51,339","44,355","$124,900"
lenoir-county-nc,nc,"57,934",22.3%,41.9,"$37,515","23,873","$93,500"
leon-county-fl,fl,"292,502",20.5%,31.3,"$50,682","148,658","$210,700"
leon-county-tx,tx,"16,966",16.3%,44.7,"$44,875","6,574","$102,300"
leslie-county-ky,ky,"10,648",34.5%,41.9,"$27,861","2,774","$48,900"
letcher-county-ky,ky,"23,011",30.5%,41.8,"$30,293","7,058","$58,500"
levy-county-fl,fl,"39,713",21.9%,46.4,"$36,554","14,623","$88,700"
lewis-county-id,id,"3,824",15.3%,48.1,"$40,313","1,524","$120,000"
lewis-county-ky,ky,"13,565",26.1%,42.1,"$32,054","4,561","$68,300"
lewis-county-mo,mo,"10,078",15.2%,40.1,"$47,148","4,814","$85,500"
lewis-county-ny,ny,"26,845",14.2%,41.8,"$51,475","11,838","$121,700"
lewis-county-tn,tn,"11,944",22.1%,44.7,"$37,092","4,772","$88,300"
lewis-county-wa,wa,"76,012",16%,42.8,"$46,387","29,789","$176,000"
lewis-county-wv,wv,"16,371",19.8%,42.8,"$39,793","6,279","$98,600"
lewis-and-clark-county-mt,mt,"66,290",11.4%,41.1,"$60,789","34,118","$220,600"
lexington-county-sc,sc,"295,032",12.8%,39,"$60,154","141,473","$160,700"
lexington-county-va,va,,,,,,
liberty-county-fl,fl,"8,347",17.8%,36.9,"$36,741","2,466","$62,400"
liberty-county-ga,ga,"62,120",16.6%,27.9,"$43,493","22,406","$120,500"
liberty-county-mt,mt,"2,245",13.9%,48.4,"$46,641","1,129","$108,000"
liberty-county-tx,tx,"79,884",16.2%,35.8,"$48,344","28,685","$93,200"
licking-county-oh,oh,"170,678",11.8%,39.9,"$59,747","83,030","$157,800"
limestone-county-al,al,"91,695",14.8%,39.1,"$52,831","38,944","$146,300"
limestone-county-tx,tx,"23,480",20.7%,39.5,"$40,356","8,824","$84,800"
lincoln-county-ar,ar,"13,885",17.9%,38.6,"$38,873","3,359","$66,100"
lincoln-county-co,co,"5,520",14%,38.5,"$44,725","1,453","$132,100"
lincoln-county-ga,ga,"7,768",23%,47.9,"$37,711","3,215","$115,600"
lincoln-county-id,id,"5,296",11.5%,33.1,"$46,383","2,379","$127,200"
lincoln-county-ky,ky,"24,413",23.8%,40.6,"$37,930","9,547","$96,100"
lincoln-county-la,la,,,,,,
lincoln-county-me,me,"34,021",11.8%,50.5,"$54,041","16,588","$211,900"
lincoln-county-mn,mn,"5,724",11.4%,45.9,"$51,102","2,816","$95,300"
lincoln-county-ms,ms,"34,542",23.6%,37.8,"$37,308","13,056","$94,800"
lincoln-county-mo,mo,"54,800",13.2%,37.3,"$58,603","25,119","$154,100"
lincoln-county-mt,mt,"19,249",16.4%,52.1,"$36,934","6,529","$175,500"
lincoln-county-ne,ne,"35,569",12.6%,40.4,"$55,875","17,442","$130,800"
lincoln-county-nv,nv,"5,203",12.1%,41.6,"$52,971","1,793","$132,900"
lincoln-county-nm,nm,"19,497",15.4%,50.9,"$42,145","7,057","$171,900"
lincoln-county-nc,nc,"80,504",15.2%,42.7,"$50,782","37,100","$158,700"
lincoln-county-ok,ok,"34,759",14.3%,41,"$47,539","14,416","$103,400"
lincoln-county-or,or,"47,307",18.4%,50.9,"$43,291","18,891","$227,700"
lincoln-county-sd,sd,"53,147",3.03%,34.4,"$81,849","29,254","$209,700"
lincoln-county-tn,tn,"33,543",16.9%,43.3,"$42,153","14,216","$117,500"
lincoln-county-wa,wa,"10,344",13.7%,48.6,"$49,460","4,126","$150,500"
lincoln-county-wv,wv,"21,241",24.9%,42.7,"$37,075","7,139","$82,000"
lincoln-county-wi,wi,"27,994",9.21%,46.9,"$54,203","14,327","$135,500"
lincoln-county-wy,wy,"18,791",9.27%,39.1,"$63,756","9,124","$205,900"
linn-county-ia,ia,"220,008",9.46%,37.4,"$62,702","117,384","$150,600"
linn-county-ks,ks,"9,602",17.4%,43.6,"$46,576","4,141","$89,400"
linn-county-mo,mo,"12,248",16.5%,42.5,"$41,652","5,516","$80,400"
linn-county-or,or,"121,074",16.1%,39.7,"$49,515","51,079","$184,900"
lipscomb-county-tx,tx,"3,495",10.5%,35,"$59,583","1,653","$92,400"
litchfield-county-ct,ct,"184,454",6.8%,46.9,"$76,438","98,166","$250,100"
little-river-county-ar,ar,"12,494",18.8%,42.5,"$36,963","4,623","$72,400"
live-oak-county-tx,tx,"12,043",16.3%,42.3,"$51,480","4,301","$84,900"
livingston-county-il,il,"36,812",13.3%,41.6,"$54,339","16,084","$109,500"
livingston-county-ky,ky,"9,288",16.2%,45.8,"$43,472","4,022","$90,800"
livingston-county-la,la,,,,,,
livingston-county-mi,mi,"186,946",5.89%,42.9,"$78,430","94,735","$218,700"
livingston-county-mo,mo,"15,025",17.9%,40.7,"$45,929","6,637","$106,000"
livingston-county-ny,ny,"64,373",14.6%,40.4,"$53,654","29,390","$125,000"
llano-county-tx,tx,"20,195",12.5%,57.1,"$50,524","7,660","$184,500"
logan-county-ar,ar,"21,802",20.2%,42.2,"$37,982","8,339","$90,400"
logan-county-co,co,"21,885",16.8%,37.5,"$44,876","10,390","$148,700"
logan-county-il,il,"29,488",9.23%,40.6,"$58,271","12,625","$101,300"
logan-county-ks,ks,"2,790",8.94%,40.4,"$49,926","1,398","$83,100"
logan-county-ky,ky,"26,847",17.4%,40.7,"$40,982","10,724","$105,400"
logan-county-ne,ne,919,9.67%,38.9,"$50,278",450,"$110,900"
logan-county-oh,oh,"45,323",13.7%,41,"$53,051","21,218","$127,200"
logan-county-ok,ok,"45,326",13.2%,37.8,"$59,133","20,909","$153,100"
logan-county-wv,wv,"34,428",22.5%,43,"$37,859","10,678","$85,800"
long-county-ga,ga,"17,857",20%,31.6,"$53,083","5,999","$117,500"
lonoke-county-ar,ar,"71,568",12.3%,35.8,"$57,290","32,577","$135,100"
lorain-county-oh,oh,"309,461",13.7%,42.1,"$58,613","147,339","$156,900"
los-alamos-county-nm,nm,"18,031",5.13%,43,"$110,190","9,122","$285,300"
los-angeles-county-ca,ca,10.1M,17%,36.7,"$68,093",5M,"$625,200"
loudon-county-tn,tn,"51,024",13.7%,47.1,"$55,431","20,363","$193,000"
loudoun-county-va,va,"406,850",3.68%,36.4,"$139,915","219,579","$533,500"
louisa-county-ia,ia,"11,238",11%,41,"$54,393","5,561","$104,200"
louisa-county-va,va,"34,813",11.8%,44.5,"$56,946","16,325","$212,900"
loup-county-ne,ne,537,8.94%,52.8,"$58,625",295,"$159,100"
love-county-ok,ok,"9,843",12.2%,40,"$49,409","3,982","$94,600"
lowndes-county-al,al,"10,362",30.2%,40.7,"$29,785","3,533","$63,000"
lowndes-county-ga,ga,"113,941",25%,30.1,"$39,911","46,445","$129,700"
lowndes-county-ms,ms,"59,558",21.1%,36.6,"$43,198","24,054","$123,400"
lubbock-county-tx,tx,"307,412",18.8%,31.1,"$50,505","152,030","$148,600"
lucas-county-ia,ia,"8,600",9.88%,44.8,"$47,325","4,076","$84,900"
lucas-county-oh,oh,"429,899",19.8%,38.1,"$47,360","197,203","$117,900"
luce-county-mi,mi,"6,406",19.4%,44.2,"$41,221","2,064","$83,200"
lumpkin-county-ga,ga,"31,567",20.1%,37.3,"$43,039","14,549","$176,300"
luna-county-nm,nm,"24,319",31.8%,39,"$27,602","7,895","$83,800"
lunenburg-county-va,va,"12,369",18.6%,45.4,"$39,537","4,694","$108,400"
luzerne-county-pa,pa,"317,646",15.2%,43.2,"$54,433","151,576","$133,600"
lycoming-county-pa,pa,"115,398",14%,41,"$50,634","53,885","$147,400"
lyman-county-sd,sd,"3,882",21.7%,36,"$47,113","1,756","$81,700"
lynchburg-county-va,va,,,,,,
lynn-county-tx,tx,"5,785",18%,38.1,"$44,922","2,419","$76,800"
lyon-county-ia,ia,"11,745",4.89%,38,"$62,012","6,004","$125,200"
lyon-county-ks,ks,"33,302",18.6%,32.9,"$42,992","17,399","$98,500"
lyon-county-ky,ky,"8,268",14.1%,49.2,"$50,268","2,829","$122,900"
lyon-county-mn,mn,"25,789",13.7%,35.6,"$54,181","13,863","$135,900"
lyon-county-nv,nv,"52,303",13.7%,43.8,"$50,920","20,991","$158,000"
mackinac-county-mi,mi,"10,836",15.4%,51.8,"$42,559","4,552","$125,100"
macomb-county-mi,mi,"874,759",11.8%,40.7,"$62,107","438,680","$176,100"
macon-county-al,al,"19,358",25.9%,38,"$32,308","7,348","$77,100"
macon-county-ga,ga,"13,675",28.6%,40.6,"$30,851","4,524","$61,300"
macon-county-il,il,"107,587",16.6%,41,"$49,052","48,109","$95,900"
macon-county-mo,mo,"15,319",17%,43,"$38,903","6,388","$89,000"
macon-county-nc,nc,"34,160",17.7%,49.3,"$40,659","13,584","$162,000"
macon-county-tn,tn,"23,239",18.6%,38.6,"$35,533","9,856","$111,700"
macoupin-county-il,il,"45,960",13.3%,43.1,"$53,890","20,963","$98,400"
madera-county-ca,ca,"154,440",22.1%,33.7,"$48,210","56,076","$220,400"
madison-county-al,al,"366,519",13.6%,38.5,"$63,111","176,976","$192,500"
madison-county-ar,ar,"15,907",17.8%,42.5,"$42,894","6,557","$108,500"
madison-county-fl,fl,"18,518",31.9%,42.4,"$31,816","5,985","$87,200"
madison-county-ga,ga,"28,600",17.6%,41,"$47,653","12,065","$121,600"
madison-county-id,id,"38,241",31.8%,23.5,"$33,620","17,073","$190,500"
madison-county-il,il,"264,461",13.5%,40.1,"$59,987","129,815","$136,600"
madison-county-in,in,"129,641",17.4%,40.2,"$45,432","55,819","$91,900"
madison-county-ia,ia,"15,720",7.31%,40.8,"$60,077","7,971","$160,400"
madison-county-ky,ky,"88,376",19.5%,34,"$46,674","41,594","$151,000"
madison-county-la,la,,,,,,
madison-county-ms,ms,"102,212",12%,37,"$68,600","51,194","$213,400"
madison-county-mo,mo,"12,226",18.8%,41.7,"$37,484","4,976","$99,800"
madison-county-mt,mt,"7,902",10.6%,53,"$47,900","3,873","$252,200"
madison-county-ne,ne,"35,062",16%,36.9,"$49,865","18,419","$126,100"
madison-county-ny,ny,"71,760",11.1%,41.3,"$58,365","33,640","$132,800"
madison-county-nc,nc,"21,347",17.8%,44.2,"$40,563","9,464","$172,200"
madison-county-oh,oh,"43,732",10.2%,40.4,"$62,897","18,838","$156,700"
madison-county-tn,tn,"97,887",20.3%,37.9,"$44,496","43,003","$126,100"
madison-county-tx,tx,"13,979",15.4%,35.2,"$44,004","4,249","$101,700"
madison-county-va,va,"13,108",9.77%,45.2,"$52,287","6,097","$256,500"
magoffin-county-ky,ky,"12,783",28.6%,42,"$29,578","3,718","$63,300"
mahaska-county-ia,ia,"22,301",14.4%,39.7,"$50,568","10,897","$110,100"
mahnomen-county-mn,mn,"5,500",22.7%,35.7,"$42,439","2,193","$97,300"
mahoning-county-oh,oh,"231,857",17.6%,43.5,"$43,251","103,418","$99,300"
major-county-ok,ok,"7,730",13.1%,41.7,"$52,056","3,343","$94,000"
malheur-county-or,or,"30,421",25.2%,36.1,"$37,112","10,824","$127,700"
manassas-county-va,va,,,,,,
manassas-park-county-va,va,,,,,,
manatee-county-fl,fl,"394,855",13.4%,48.7,"$59,956","171,037","$254,100"
manistee-county-mi,mi,"24,432",14.7%,48.7,"$44,882","9,372","$116,200"
manitowoc-county-wi,wi,"79,680",10.2%,44.5,"$51,053","41,085","$126,200"
marathon-county-wi,wi,"135,293",10.3%,40.7,"$56,509","71,112","$147,600"
marengo-county-al,al,"19,743",25.6%,42.1,"$32,255","6,645","$88,100"
maries-county-mo,mo,"8,959",18.9%,44.4,"$41,715","3,705","$122,800"
maricopa-county-az,az,4.41M,15.7%,36.6,"$65,252",2.14M,"$276,800"
marin-county-ca,ca,"259,666",8.06%,47.4,"$126,373","134,656",$1.07M
marinette-county-wi,wi,"40,712",13.2%,47.7,"$44,958","18,850","$116,600"
marion-county-al,al,"30,058",17.6%,44.1,"$35,719","11,899","$87,200"
marion-county-ar,ar,"16,374",19.5%,51.8,"$36,113","5,353","$117,300"
marion-county-fl,fl,"359,977",17.6%,49.1,"$44,576","126,611","$150,600"
marion-county-il,il,"38,305",17.8%,41.8,"$44,679","16,958","$71,900"
marion-county-ga,ga,"8,558",23.1%,43.3,"$39,015","3,413","$86,300"
marion-county-in,in,"954,670",19.8%,34.5,"$47,780","466,254","$142,700"
marion-county-ia,ia,"33,127",9.32%,39.5,"$57,917","17,090","$146,900"
marion-county-ky,ky,"19,335",18.4%,39.7,"$40,005","7,891","$100,400"
marion-county-ks,ks,"12,087",10.7%,45,"$50,212","5,697","$81,300"
marion-county-ms,ms,"25,466",25.9%,39.9,"$30,998","9,171","$78,500"
marion-county-mo,mo,"28,703",18.4%,39.2,"$44,098","13,150","$113,500"
marion-county-oh,oh,"65,483",16.6%,40.8,"$44,708","25,920","$93,700"
marion-county-or,or,"346,868",15.9%,36.8,"$56,341","158,633","$270,200"
marion-county-sc,sc,"31,765",26.5%,40,"$31,129","11,778","$75,800"
marion-county-tn,tn,"28,355",18.1%,43.2,"$45,366","11,940","$121,200"
marion-county-tx,tx,"10,140",22.3%,49.8,"$36,938","3,635","$88,600"
marion-county-wv,wv,"56,575",16.1%,41.3,"$48,158","25,174","$110,100"
mariposa-county-ca,ca,"17,658",15.1%,51.1,"$51,385","7,009","$259,500"
marlboro-county-sc,sc,"27,505",26.6%,39.9,"$33,921","9,731","$60,500"
marquette-county-mi,mi,"67,145",16.4%,39.1,"$48,491","29,746","$142,900"
marquette-county-wi,wi,"15,164",11.8%,49.4,"$49,052","6,984","$144,000"
marshall-county-al,al,"94,738",21%,38.8,"$41,104","38,456","$118,500"
marshall-county-il,il,"11,925",10.3%,46.3,"$55,173","5,514","$103,300"
marshall-county-in,in,"46,752",11.5%,39.8,"$51,869","21,353","$130,100"
marshall-county-ia,ia,"40,476",11.2%,38.5,"$52,752","19,195","$104,600"
marshall-county-ks,ks,"9,859",8.91%,44,"$50,420","4,875","$93,400"
marshall-county-ky,ky,"31,177",10.8%,44.8,"$49,126","13,089","$118,100"
marshall-county-mn,mn,"9,397",7.76%,43.4,"$57,289","4,832","$104,500"
marshall-county-ms,ms,"35,981",17.8%,39.9,"$41,134","14,304","$94,300"
marshall-county-ok,ok,"16,226",14.7%,43.2,"$45,671","6,347","$86,600"
marshall-county-sd,sd,"4,759",8.34%,41.3,"$60,948","2,471","$106,700"
marshall-county-tn,tn,"31,753",13.5%,39.3,"$46,837","13,998","$119,300"
marshall-county-wv,wv,"32,006",15.2%,44.9,"$42,473","12,847","$99,800"
martin-county-fl,fl,"155,719",10.9%,51.6,"$55,588","64,614","$233,000"
martin-county-in,in,"10,219",13.3%,42,"$49,372","4,804","$97,900"
martin-county-ky,ky,"12,175",29.8%,39,"$29,239","3,032","$65,500"
martin-county-mn,mn,"20,084",11.3%,45.2,"$53,627","10,236","$112,400"
martin-county-nc,nc,"23,227",19.2%,46,"$35,969","9,311","$83,100"
martin-county-tx,tx,"5,547",6.98%,31.7,"$71,115","2,527","$120,500"
martinsville-county-va,va,,,,,,
mason-county-il,il,"13,904",13.9%,45.5,"$44,695","6,173","$81,000"
mason-county-ky,ky,"17,167",18%,40.7,"$43,082","7,087","$111,200"
mason-county-mi,mi,"28,800",16%,46,"$45,524","12,418","$126,600"
mason-county-tx,tx,"4,122",12.6%,48.9,"$40,949","2,173","$156,400"
mason-county-wa,wa,"61,569",16.2%,45.9,"$53,087","23,051","$206,700"
mason-county-wv,wv,"27,000",19.3%,44,"$38,977","9,259","$78,300"
massac-county-il,il,"14,594",18.4%,43.8,"$42,168","5,563","$82,500"
matagorda-county-tx,tx,"36,744",20.6%,37.2,"$44,896","16,009","$102,200"
matanuska-susitna-county-ak,ak,,,,,,
mathews-county-va,va,"8,830",10.6%,52.6,"$63,622","4,151","$227,200"
maui-county-hi,hi,"164,094",9.98%,40.9,"$72,762","83,785","$569,100"
maury-county-tn,tn,"87,606",13%,38.9,"$52,080","40,562","$156,000"
maverick-county-tx,tx,"57,471",24.5%,29.6,"$37,734","21,113","$95,100"
mayes-county-ok,ok,"40,929",19.2%,40.3,"$45,302","17,137","$106,700"
mcclain-county-ok,ok,"37,919",9.51%,38.3,"$62,081","17,629","$166,400"
mccook-county-sd,sd,"5,515",9.26%,40.7,"$60,808","2,882","$120,700"
mccormick-county-sc,sc,"9,694",20.1%,52.8,"$40,622","2,720","$116,600"
mccracken-county-ky,ky,"65,285",17.1%,42.1,"$42,894","28,766","$134,100"
mccreary-county-ky,ky,"17,748",41%,39.2,"$19,264","4,493","$61,300"
mcculloch-county-tx,tx,"8,145",16.3%,43.5,"$42,367","3,658","$82,000"
mccurtain-county-ok,ok,"33,026",23.6%,39,"$34,250","12,423","$78,000"
mcdonald-county-mo,mo,"22,753",19%,38.3,"$41,207","9,010","$97,000"
mcdonough-county-il,il,"31,597",22.3%,31.3,"$42,911","13,837","$94,600"
mcdowell-county-nc,nc,"45,069",19.3%,43.3,"$38,776","18,193","$110,400"
mcdowell-county-wv,wv,"19,707",34.9%,44,"$25,595","4,081","$34,800"
mcduffie-county-ga,ga,"21,488",26%,37.8,"$40,469","8,204","$102,500"
mchenry-county-il,il,"308,570",7.3%,40.9,"$85,275","166,067","$233,200"
mchenry-county-nd,nd,"5,951",7.87%,42.8,"$61,788","3,005","$116,700"
mcintosh-county-ga,ga,"14,061",20.3%,49.2,"$43,285","5,716","$112,700"
mcintosh-county-nd,nd,"2,680",9.86%,53.5,"$46,012","1,364","$72,300"
mcintosh-county-ok,ok,"19,874",18.5%,47,"$38,163","7,053","$95,300"
mckean-county-pa,pa,"42,070",17.3%,42.5,"$45,866","18,316","$77,100"
mckenzie-county-nd,nd,"11,679",11.7%,30.8,"$79,316","5,984","$213,600"
mckinley-county-nm,nm,"72,849",37.5%,31.6,"$30,336","23,207","$62,800"
mclean-county-il,il,"173,231",14.5%,32.7,"$64,573","91,152","$163,800"
mclean-county-ky,ky,"9,361",19.2%,41.5,"$44,242","3,838","$96,800"
mclean-county-nd,nd,"9,607",8.89%,46.7,"$63,926","4,670","$159,300"
mclennan-county-tx,tx,"245,720",19.3%,33.2,"$46,262","112,592","$125,200"
mcleod-county-mn,mn,"35,816",8.38%,40.4,"$59,869","19,282","$150,400"
mcminn-county-tn,tn,"52,569",19.7%,42.6,"$39,990","20,840","$123,700"
mcnairy-county-tn,tn,"25,945",21.6%,42.7,"$34,353","9,313","$87,500"
mcpherson-county-ks,ks,"28,792",7.59%,40.8,"$56,946","15,238","$140,300"
mcpherson-county-ne,ne,432,16%,48.5,"$60,714",225,"$137,500"
mcpherson-county-sd,sd,"2,366",17%,50.5,"$41,674","1,040","$54,500"
meade-county-ks,ks,"4,295",12.2%,37.7,"$54,167","2,055","$88,700"
meade-county-ky,ky,"28,452",13.1%,37.8,"$53,732","11,827","$140,800"
meade-county-sd,sd,"27,066",8.78%,36.1,"$54,286","13,830","$168,400"
meagher-county-mt,mt,"2,000",15.8%,43.9,"$41,343",902,"$136,300"
mecklenburg-county-nc,nc,1.09M,13.4%,35.2,"$63,967","587,011","$253,000"
mecklenburg-county-va,va,"30,959",16.9%,47.9,"$41,126","12,739","$125,300"
mecosta-county-mi,mi,"43,181",22.5%,36.4,"$43,470","18,219","$114,700"
medina-county-oh,oh,"176,362",6.16%,41.9,"$71,595","91,690","$185,800"
medina-county-tx,tx,"48,548",12.7%,38.8,"$59,305","20,958","$134,400"
meeker-county-mn,mn,"23,105",8.32%,42.2,"$59,611","11,589","$161,600"
meigs-county-oh,oh,"23,234",22.5%,42.8,"$42,105","8,891","$87,400"
meigs-county-tn,tn,"11,830",16.6%,44.4,"$39,786","4,300","$118,400"
mellette-county-sd,sd,"2,062",42.6%,32.8,"$31,165",680,"$45,300"
menard-county-il,il,"12,416",11.4%,42.3,"$62,368","6,091","$132,500"
menard-county-tx,tx,"2,123",9.75%,49.1,"$37,917","1,014","$60,800"
mendocino-county-ca,ca,"87,497",19.1%,42.4,"$46,528","37,084","$338,000"
menifee-county-ky,ky,"6,381",20.1%,46.2,"$39,688","2,529","$77,800"
menominee-county-mi,mi,"23,389",13.5%,48,"$44,480","10,638","$95,900"
menominee-county-wi,wi,"4,506",35.8%,31.4,"$38,080","1,562","$85,400"
merced-county-ca,ca,"274,765",23.3%,31.4,"$57,745","111,737","$261,100"
mercer-county-il,il,"15,794",11.4%,44.8,"$55,649","7,327","$105,100"
mercer-county-ky,ky,"21,378",16.7%,42.8,"$47,574","9,657","$139,900"
mercer-county-mo,mo,"3,669",17.7%,43.6,"$43,314","1,594","$82,500"
mercer-county-nj,nj,"369,811",11.3%,38.9,"$80,632","186,168","$289,700"
mercer-county-nd,nd,"8,637",7.26%,44.7,"$80,337","4,474","$166,200"
mercer-county-oh,oh,"40,723",7.43%,39.8,"$57,052","20,716","$137,900"
mercer-county-pa,pa,"113,623",13.7%,44.4,"$47,340","50,193","$114,100"
mercer-county-wv,wv,"60,963",21.4%,42.7,"$37,763","22,634","$89,400"
meriwether-county-ga,ga,"21,152",22.7%,42,"$36,368","8,165","$91,300"
merrick-county-ne,ne,"7,829",9.96%,43.5,"$53,536","4,194","$90,900"
merrimack-county-nh,nh,"147,958",7.71%,42.8,"$69,856","77,527","$226,700"
mesa-county-co,co,"148,798",16%,38.9,"$51,971","68,918","$207,900"
metcalfe-county-ky,ky,"9,990",23.1%,43.1,"$35,594","3,875","$75,200"
